t,energy,relative_drift
3.5,-1.28714,1.00056e-14
3.52,-1.28714,1.19032e-14
3.54,-1.28714,1.24207e-14
3.56,-1.28714,1.43183e-14
3.58,-1.28714,1.46633e-14
3.6,-1.28714,1.53534e-14
3.62,-1.28714,1.43183e-14
3.64,-1.28714,1.56984e-14
3.66,-1.28714,1.74235e-14
3.68,-1.28714,1.7941e-14
3.7,-1.28714,1.84585e-14
3.72,-1.28714,1.8286e-14
3.74,-1.28714,1.70785e-14
3.76,-1.28714,1.74235e-14
3.78,-1.28714,1.77685e-14
3.8,-1.28714,1.62159e-14
3.82,-1.28714,1.60434e-14
3.84,-1.28714,1.38008e-14
3.86,-1.28714,1.25932e-14
3.88,-1.28714,1.15582e-14
3.9,-1.28714,1.22482e-14
3.92,-1.28714,1.08681e-14
3.94,-1.28714,1.01781e-14
3.96,-1.28714,9.48804e-15
3.98,-1.28714,9.48804e-15
4,-1.28714,9.66055e-15
4.02,-1.28714,9.83306e-15
4.04,-1.28714,1.03506e-14
4.06,-1.28714,1.05231e-14
4.08,-1.28714,1.01781e-14
4.1,-1.28714,1.05231e-14
4.12,-1.28714,1.03506e-14
4.14,-1.28714,1.05231e-14
4.16,-1.28714,1.03506e-14
4.18,-1.28714,9.83306e-15
4.2,-1.28714,1.00056e-14
4.22,-1.28714,1.06956e-14
4.24,-1.28714,1.10406e-14
4.26,-1.28714,9.83306e-15
4.28,-1.28714,1.05231e-14
4.3,-1.28714,1.01781e-14
4.32,-1.28714,1.06956e-14
4.34,-1.28714,1.03506e-14
4.36,-1.28714,1.03506e-14
4.38,-1.28714,1.05231e-14
4.4,-1.28714,1.06956e-14
4.42,-1.28714,1.08681e-14
4.44,-1.28714,1.19032e-14
4.46,-1.28714,1.20757e-14
4.48,-1.28714,1.24207e-14
4.5,-1.28714,1.32833e-14
4.52,-1.28714,1.36283e-14
4.54,-1.28714,1.36283e-14
4.56,-1.28714,1.31107e-14
4.58,-1.28714,1.36283e-14
4.6,-1.28714,1.38008e-14
4.62,-1.28714,1.48358e-14
4.64,-1.28714,1.39733e-14
4.66,-1.28714,1.41458e-14
4.68,-1.28714,1.46633e-14
4.7,-1.28714,1.48358e-14
4.72,-1.28714,1.43183e-14
4.74,-1.28714,1.56984e-14
4.76,-1.28714,1.62159e-14
4.78,-1.28714,1.51809e-14
4.8,-1.28714,1.44908e-14
4.82,-1.28714,1.43183e-14
4.84,-1.28714,1.29382e-14
4.86,-1.28714,1.22482e-14
4.88,-1.28714,1.20757e-14
4.9,-1.28714,1.20757e-14
4.92,-1.28714,1.06956e-14
4.94,-1.28714,9.48804e-15
4.96,-1.28714,8.798e-15
4.98,-1.28714,8.45298e-15
5,-1.28714,8.97051e-15
5.02,-1.28714,7.24541e-15
5.04,-1.28714,7.93545e-15
5.06,-1.28714,8.97051e-15
5.08,-1.28714,9.14302e-15
5.1,-1.28714,8.62549e-15
5.12,-1.28714,9.66055e-15
5.14,-1.28714,8.62549e-15
5.16,-1.28714,8.97051e-15
5.18,-1.28714,8.45298e-15
5.2,-1.28714,8.97051e-15
5.22,-1.28714,8.97051e-15
5.24,-1.28714,8.798e-15
5.26,-1.28714,8.97051e-15
5.28,-1.28714,8.798e-15
5.3,-1.28714,8.62549e-15
5.32,-1.28714,9.14302e-15
5.34,-1.28714,8.798e-15
5.36,-1.28714,9.31553e-15
5.38,-1.28714,9.14302e-15
5.4,-1.28714,9.66055e-15
5.42,-1.28714,9.31553e-15
5.44,-1.28714,8.45298e-15
5.46,-1.28714,9.14302e-15
5.48,-1.28714,9.14302e-15
5.5,-1.28714,8.45298e-15
5.52,-1.28714,8.798e-15
5.54,-1.28714,8.45298e-15
5.56,-1.28714,9.31553e-15
5.58,-1.28714,1.00056e-14
5.6,-1.28714,1.03506e-14
5.62,-1.28714,1.29382e-14
5.64,-1.28714,1.34558e-14
5.66,-1.28714,1.39733e-14
5.68,-1.28714,1.48358e-14
5.7,-1.28714,1.51809e-14
5.72,-1.28714,1.60434e-14
5.74,-1.28714,1.63884e-14
5.76,-1.28714,1.74235e-14
5.78,-1.28714,1.70785e-14
5.8,-1.28714,1.77685e-14
5.82,-1.28714,1.74235e-14
5.84,-1.28714,1.77685e-14
5.86,-1.28714,1.60434e-14
5.88,-1.28714,1.50084e-14
5.9,-1.28714,1.39733e-14
5.92,-1.28714,1.29382e-14
5.94,-1.28714,1.24207e-14
5.96,-1.28714,1.29382e-14
5.98,-1.28714,1.25932e-14
6,-1.28714,1.12131e-14
6.02,-1.28714,1.06956e-14
6.04,-1.28714,9.31553e-15
6.06,-1.28714,9.48804e-15
6.08,-1.28714,8.97051e-15
6.1,-1.28714,8.62549e-15
6.12,-1.28714,7.76294e-15
6.14,-1.28714,7.59043e-15
6.16,-1.28714,7.59043e-15
6.18,-1.28714,8.10796e-15
6.2,-1.28714,8.97051e-15
6.22,-1.28714,8.45298e-15
6.24,-1.28714,7.93545e-15
6.26,-1.28714,7.76294e-15
6.28,-1.28714,7.76294e-15
6.3,-1.28714,7.76294e-15
6.32,-1.28714,8.45298e-15
6.34,-1.28714,8.45298e-15
6.36,-1.28714,7.93545e-15
6.38,-1.28714,7.76294e-15
6.4,-1.28714,7.24541e-15
6.42,-1.28714,7.0729e-15
6.44,-1.28714,8.10796e-15
6.46,-1.28714,8.28047e-15
6.48,-1.28714,7.93545e-15
6.5,-1.28714,7.93545e-15
6.52,-1.28714,8.97051e-15
6.54,-1.28714,8.45298e-15
6.56,-1.28714,9.14302e-15
6.58,-1.28714,9.48804e-15
6.6,-1.28714,9.48804e-15
6.62,-1.28714,9.48804e-15
6.64,-1.28714,1.08681e-14
6.66,-1.28714,1.25932e-14
6.68,-1.28714,1.43183e-14
6.7,-1.28714,1.58709e-14
6.72,-1.28714,1.67335e-14
6.74,-1.28714,1.81135e-14
6.76,-1.28714,1.81135e-14
6.78,-1.28714,1.77685e-14
6.8,-1.28714,1.81135e-14
6.8205,-1.28714,1.89761e-14
6.8405,-1.28714,1.84585e-14
6.8605,-1.28714,1.88036e-14
6.8805,-1.28714,1.88036e-14
6.9005,-1.28714,1.84585e-14
6.9205,-1.28714,1.77685e-14
6.9405,-1.28714,1.67335e-14
6.9605,-1.28714,1.60434e-14
6.9805,-1.28714,1.41458e-14
7.0005,-1.28714,1.32833e-14
7.0205,-1.28714,1.25932e-14
7.0405,-1.28714,1.15582e-14
7.0605,-1.28714,1.05231e-14
7.0805,-1.28714,9.83306e-15
7.1005,-1.28714,9.48804e-15
7.1205,-1.28714,9.66055e-15
7.1405,-1.28714,9.48804e-15
7.1605,-1.28714,8.798e-15
7.1805,-1.28714,8.45298e-15
7.2005,-1.28714,8.10796e-15
7.2205,-1.28714,8.45298e-15
