t,body,x,y,z,vx,vy,vz
0.54,Body A,-0.526394,0.342085,0,1.10119,-0.261495,0
0.54,Body B,1.08096,0.00599921,0,-0.00913994,0.467212,0
0.54,Body C,-0.554565,-0.348084,0,-1.09205,-0.205717,0
0.56,Body A,-0.504323,0.336422,0,1.10553,-0.304752,0
0.56,Body B,1.08063,0.0153436,0,-0.023395,0.467223,0
0.56,Body C,-0.576311,-0.351765,0,-1.08214,-0.162472,0
0.58,Body A,-0.482188,0.329898,0,1.10752,-0.347526,0
0.58,Body B,1.08002,0.0246882,0,-0.0376999,0.467244,0
0.58,Body C,-0.597834,-0.354586,0,-1.06982,-0.119718,0
0.6,Body A,-0.460037,0.322526,0,1.10724,-0.389533,0
0.6,Body B,1.07912,0.0340333,0,-0.0520848,0.467269,0
0.6,Body C,-0.619088,-0.356559,0,-1.05516,-0.0777356,0
0.62,Body A,-0.437913,0.314323,0,1.10485,-0.430507,0
0.62,Body B,1.07794,0.043379,0,-0.0665803,0.467294,0
0.62,Body C,-0.640025,-0.357702,0,-1.03827,-0.0367865,0
0.64,Body A,-0.415856,0.305314,0,1.10052,-0.470207,0
0.64,Body B,1.07646,0.052725,0,-0.0812166,0.467312,0
0.64,Body C,-0.660604,-0.358039,0,-1.0193,0.00289475,0
0.66,Body A,-0.393904,0.295525,0,1.09444,-0.508419,0
0.66,Body B,1.07469,0.0620714,0,-0.0960241,0.467316,0
0.66,Body C,-0.680785,-0.357596,0,-0.998417,0.0411032,0
0.68,Body A,-0.372088,0.284988,0,1.08685,-0.544961,0
0.68,Body B,1.07262,0.0714175,0,-0.111033,0.467294,0
0.68,Body C,-0.70053,-0.356406,0,-0.975812,0.0776671,0
0.7,Body A,-0.350438,0.273739,0,1.07796,-0.579683,0
0.7,Body B,1.07025,0.0807629,0,-0.126275,0.467234,0
0.7,Body C,-0.719807,-0.354502,0,-0.951689,0.112449,0
0.72,Body A,-0.328977,0.261814,0,1.06804,-0.612469,0
0.72,Body B,1.06757,0.0901065,0,-0.141778,0.467123,0
0.72,Body C,-0.738588,-0.35192,0,-0.92626,0.145346,0
0.74,Body A,-0.307722,0.249253,0,1.05731,-0.643234,0
0.74,Body B,1.06457,0.0994473,0,-0.157575,0.466944,0
0.74,Body C,-0.75685,-0.348701,0,-0.899738,0.17629,0
0.76,Body A,-0.286688,0.236098,0,1.04603,-0.671921,0
0.76,Body B,1.06126,0.108784,0,-0.173694,0.466678,0
0.76,Body C,-0.774572,-0.344882,0,-0.872335,0.205243,0
0.78,Body A,-0.265883,0.222391,0,1.03442,-0.6985,0
0.78,Body B,1.05762,0.118114,0,-0.190167,0.466305,0
0.78,Body C,-0.791739,-0.340504,0,-0.844253,0.232195,0
