t,body,x,y,z,vx,vy,vz
1.35,Planet,2.36527,4.38499,0,-3.52545,1.87467,0
1.4,Star A,0.496022,-0.06298,0,0.559645,4.4075,0
1.4,Star B,-0.496013,0.0629832,0,-0.559634,-4.40749,0
1.4,Planet,2.18719,4.47525,0,-3.59664,1.73486,0
1.45,Star A,0.474937,0.156331,0,-1.3891,4.22015,0
1.45,Star B,-0.474928,-0.156327,0,1.38911,-4.22014,0
1.45,Planet,2.00571,4.55839,0,-3.66157,1.59015,0
1.5,Star A,0.361637,0.345287,0,-3.06812,3.21338,0
1.5,Star B,-0.361628,-0.345283,0,3.06813,-3.21338,0
1.5,Planet,1.82111,4.63417,0,-3.7215,1.44025,0
1.55,Star A,0.17812,0.467201,0,-4.15142,1.58269,0
1.55,Star B,-0.17811,-0.467197,0,4.15143,-1.58268,0
1.55,Planet,1.63363,4.70235,0,-3.77729,1.28637,0
1.6,Star A,-0.039981,0.498401,0,-4.42865,-0.355305,0
1.6,Star B,0.0399917,-0.498396,0,4.42866,0.355313,0
1.6,Planet,1.44346,4.76278,0,-3.82875,1.13072,0
1.65,Star A,-0.250318,0.432828,0,-3.84598,-2.22431,0
1.65,Star B,0.250329,-0.432823,0,3.84599,2.22432,0
1.65,Planet,1.25084,4.81543,0,-3.87474,0.975305,0
1.7,Star A,-0.412051,0.283215,0,-2.51656,-3.66143,0
1.7,Star B,0.412062,-0.28321,0,2.51657,3.66144,0
1.7,Planet,1.0561,4.86033,0,-3.91381,0.820788,0
1.75,Star A,-0.493776,0.0786123,0,-0.698497,-4.38763,0
1.75,Star B,0.493788,-0.0786061,0,0.698509,4.38764,0
1.75,Planet,0.859593,4.89751,0,-3.94499,0.666351,0
1.8,Star A,-0.479625,-0.141254,0,1.25519,-4.26189,0
1.8,Star B,0.479638,0.141261,0,-1.25518,4.2619,0
1.8,Planet,0.661732,4.92694,0,-3.96816,0.510341,0
1.85,Star A,-0.372346,-0.333693,0,2.96516,-3.30863,0
1.85,Star B,0.372359,0.3337,0,-2.96515,3.30864,0
1.85,Planet,0.462899,4.94849,0,-3.98402,0.351294,0
1.9,Star A,-0.192768,-0.461339,0,4.09939,-1.71295,0
1.9,Star B,0.192783,0.461347,0,-4.09938,1.71296,0
1.9,Planet,0.263432,4.96201,0,-3.99378,0.188873,0
1.95,Star A,0.0242396,-0.499408,0,4.43767,0.215328,0
1.95,Star B,-0.0242248,0.499417,0,-4.43766,-0.215316,0
1.95,Planet,0.0636047,4.96734,0,-3.99852,0.0243233,0
2,Star A,0.236543,-0.440508,0,3.9143,2.1018,0
2,Star B,-0.236527,0.440517,0,-3.91429,-2.10179,0
2,Planet,-0.136342,4.96444,0,-3.99854,-0.14003,0
2.05,Star A,0.402918,-0.296075,0,2.6309,3.58017,0
2.05,Star B,-0.402902,0.296085,0,-2.63089,-3.58016,0
2.05,Planet,-0.33616,4.95338,0,-3.99316,-0.302091,0
2.1,Star A,0.491062,-0.0941533,0,0.836676,4.3634,0
2.1,Star B,-0.491046,0.0941635,0,-0.836664,-4.36339,0
2.1,Planet,-0.535548,4.93429,0,-3.98113,-0.461122,0
2.15,Star A,0.48386,0.126051,0,-1.12,4.2994,0
2.15,Star B,-0.483843,-0.12604,0,1.12002,-4.29939,0
2.15,Planet,-0.734143,4.9073,0,-3.96135,-0.617914,0
2.2,Star A,0.382711,0.321781,0,-2.85922,3.4006,0
2.2,Star B,-0.382693,-0.32177,0,2.85923,-3.40059,0
2.2,Planet,-0.931545,4.8725,0,-3.93337,-0.77412,0
2.25,Star A,0.207253,0.455034,0,-4.04326,1.84153,0
2.25,Star B,-0.207235,-0.455021,0,4.04327,-1.84151,0
2.25,Planet,-1.12735,4.82988,0,-3.89761,-0.931235,0
2.3,Star A,-0.0084445,0.499935,0,-4.44224,-0.0751126,0
2.3,Star B,0.00846346,-0.499922,0,4.44225,0.0751277,0
2.3,Planet,-1.3212,4.77936,0,-3.85526,-1.08964,0
2.35,Star A,-0.2225,0.447767,0,-3.97869,-1.97717,0
2.35,Star B,0.22252,-0.447753,0,3.9787,1.97718,0
2.35,Planet,-1.51279,4.72091,0,-3.80772,-1.24812,0
2.4,Star A,-0.393352,0.308659,0,-2.7426,-3.49532,0
2.4,Star B,0.393372,-0.308645,0,2.74261,3.49533,0
2.4,Planet,-1.7019,4.65458,0,-3.75582,-1.4044,0
2.45,Star A,-0.487827,0.109621,0,-0.973997,-4.3348,0
2.45,Star B,0.487847,-0.109606,0,0.974008,4.33481,0
2.45,Planet,-1.88829,4.58054,0,-3.6993,-1.55642,0
2.5,Star A,-0.487579,-0.1107,0,0.983728,-4.3326,0
2.5,Star B,0.4876,0.110716,0,-0.983717,4.33262,0
2.5,Planet,-2.07173,4.49903,0,-3.63707,-1.70344,0
2.55,Star A,-0.392658,-0.309525,0,2.75045,-3.48916,0
2.55,Star B,0.39268,0.309542,0,-2.75044,3.48917,0
2.55,Planet,-2.25189,4.41027,0,-3.56785,-1.84614,0
2.6,Star A,-0.221494,-0.448249,0,3.98312,-1.96824,0
2.6,Star B,0.221517,0.448267,0,-3.98311,1.96825,0
2.6,Planet,-2.42839,4.31446,0,-3.49085,-1.98609,0
2.65,Star A,-0.00732129,-0.499937,0,4.44241,-0.0651473,0
2.65,Star B,0.00734409,0.499956,0,-4.4424,0.0651656,0
2.65,Planet,-2.60084,4.21168,0,-3.40626,-2.12473,0
2.7,Star A,0.208275,-0.454552,0,4.03913,1.85059,0
2.7,Star B,-0.208252,0.454571,0,-4.03912,-1.85057,0
2.7,Planet,-2.76891,4.102,0,-3.3153,-2.26251,0
2.75,Star A,0.383434,-0.320906,0,2.85159,3.40701,0
2.75,Star B,-0.383411,0.320927,0,-2.85158,-3.40699,0
2.75,Planet,-2.9323,3.98546,0,-3.21975,-2.3984,0
2.8,Star A,0.484145,-0.124949,0,1.11037,4.3019,0
2.8,Star B,-0.484121,0.124971,0,-1.11036,-4.30189,0
2.8,Planet,-3.09083,3.86222,0,-3.1209,-2.53031,0
2.85,Star A,0.490854,0.095271,0,-0.84645,4.36151,0
2.85,Star B,-0.490829,-0.0952482,0,0.846459,-4.36149,0
2.85,Planet,-3.24434,3.73253,0,-3.01888,-2.65636,0
2.9,Star A,0.402258,0.296995,0,-2.63891,3.57427,0
2.9,Star B,-0.402233,-0.296971,0,2.63892,-3.57425,0
2.9,Planet,-3.39264,3.5967,0,-2.91269,-2.77576,0
2.95,Star A,0.235559,0.441054,0,-3.91899,2.09302,0
2.95,Star B,-0.235533,-0.44103,0,3.919,-2.093,0
2.95,Planet,-3.53551,3.45506,0,-2.80084,-2.88905,0
3,Star A,0.0231251,0.499478,0,-4.43813,0.205379,0
3,Star B,-0.023099,-0.499453,0,4.43814,-0.205358,0
3,Planet,-3.67262,3.30787,0,-2.68227,-2.99759,0
3.05,Star A,-0.193796,0.460923,0,-4.09553,-1.72214,0
3.05,Star B,0.193823,-0.460896,0,4.09554,1.72216,0
3.05,Planet,-3.80362,3.15535,0,-2.55696,-3.10275,0
3.1,Star A,-0.373087,0.332875,0,-2.95772,-3.31527,0
3.1,Star B,0.373114,-0.332847,0,2.95773,3.31529,0
3.1,Planet,-3.92822,2.99765,0,-2.42623,-3.2051,0
3.15,Star A,-0.479933,0.140196,0,-1.24562,-4.26469,0
3.15,Star B,0.479961,-0.140167,0,1.24562,4.26471,0
3.15,Planet,-4.04619,2.8349,0,-2.29217,-3.30392,0
3.2,Star A,-0.493591,-0.0797014,0,0.708345,-4.38604,0
3.2,Star B,0.493618,0.0797316,0,-0.708339,4.38606,0
3.2,Planet,-4.15741,2.66734,0,-2.15651,-3.3975,0
3.25,Star A,-0.411406,-0.28412,0,2.52477,-3.65577,0
3.25,Star B,0.411434,0.284152,0,-2.52476,3.6558,0
3.25,Planet,-4.26182,2.49527,0,-2.01963,-3.48415,0
3.3,Star A,-0.249338,-0.43337,0,3.85097,-2.21567,0
3.3,Star B,0.249366,0.433402,0,-3.85096,2.2157,0
