t,energy,relative_drift
8.45,-19.7392,-1.1554e-10
8.5,-19.7392,-1.16224e-10
8.55,-19.7392,-1.16907e-10
8.6,-19.7392,-1.17591e-10
8.65,-19.7392,-1.18273e-10
8.7,-19.7392,-1.18956e-10
8.75,-19.7392,-1.1964e-10
8.8,-19.7392,-1.20323e-10
8.85,-19.7392,-1.21005e-10
8.9,-19.7392,-1.21689e-10
8.95,-19.7392,-1.22373e-10
9,-19.7392,-1.23055e-10
9.05,-19.7392,-1.23739e-10
9.1,-19.7392,-1.24423e-10
9.15,-19.7392,-1.25107e-10
9.2,-19.7392,-1.25792e-10
9.25,-19.7392,-1.26475e-10
9.3,-19.7392,-1.27159e-10
9.35,-19.7392,-1.27843e-10
9.4,-19.7392,-1.28525e-10
9.45,-19.7392,-1.29209e-10
9.5,-19.7392,-1.29893e-10
9.55,-19.7392,-1.30576e-10
9.6,-19.7392,-1.3126e-10
9.65,-19.7392,-1.31944e-10
9.7,-19.7392,-1.32627e-10
9.75,-19.7392,-1.33309e-10
9.8,-19.7392,-1.33993e-10
9.85,-19.7392,-1.34676e-10
9.9,-19.7392,-1.35359e-10
9.95,-19.7392,-1.36044e-10
10,-19.7392,-1.36728e-10
10.05,-19.7392,-1.37411e-10
10.1,-19.7392,-1.38095e-10
10.15,-19.7392,-1.38779e-10
10.2,-19.7392,-1.39462e-10
10.25,-19.7392,-1.40145e-10
10.3,-19.7392,-1.40828e-10
10.35,-19.7392,-1.41512e-10
10.4,-19.7392,-1.42196e-10
10.45,-19.7392,-1.42879e-10
10.5,-19.7392,-1.43563e-10
10.55,-19.7392,-1.44246e-10
10.6,-19.7392,-1.4493e-10
10.65,-19.7392,-1.45615e-10
10.7,-19.7392,-1.46299e-10
10.75,-19.7392,-1.46982e-10
10.8,-19.7392,-1.47665e-10
10.85,-19.7392,-1.48348e-10
10.9,-19.7392,-1.49032e-10
10.95,-19.7392,-1.49716e-10
11,-19.7392,-1.504e-10
11.05,-19.7392,-1.51084e-10
11.1,-19.7392,-1.51768e-10
11.15,-19.7392,-1.52452e-10
11.2,-19.7392,-1.53136e-10
11.25,-19.7392,-1.5382e-10
11.3,-19.7392,-1.54504e-10
11.35,-19.7392,-1.55186e-10
11.4,-19.7392,-1.5587e-10
11.45,-19.7392,-1.56554e-10
11.5,-19.7392,-1.57237e-10
11.55,-19.7392,-1.57921e-10
11.601,-19.7392,-1.58618e-10
11.651,-19.7392,-1.59302e-10
11.701,-19.7392,-1.59985e-10
11.751,-19.7392,-1.60668e-10
11.801,-19.7392,-1.61353e-10
11.851,-19.7392,-1.62038e-10
11.901,-19.7392,-1.6272e-10
11.951,-19.7392,-1.63404e-10
12.001,-19.7392,-1.64088e-10
12.051,-19.7392,-1.64772e-10
12.101,-19.7392,-1.65455e-10
12.151,-19.7392,-1.66139e-10
12.201,-19.7392,-1.66822e-10
12.251,-19.7392,-1.67507e-10
12.301,-19.7392,-1.68191e-10
12.351,-19.7392,-1.68875e-10
12.401,-19.7392,-1.69558e-10
12.451,-19.7392,-1.70243e-10
12.501,-19.7392,-1.70925e-10
12.551,-19.7392,-1.7161e-10
12.601,-19.7392,-1.72294e-10
12.651,-19.7392,-1.72978e-10
12.701,-19.7392,-1.73661e-10
12.751,-19.7392,-1.74343e-10
12.801,-19.7392,-1.75027e-10
12.851,-19.7392,-1.75711e-10
12.901,-19.7392,-1.76395e-10
12.951,-19.7392,-1.77079e-10
13.001,-19.7392,-1.77762e-10
13.051,-19.7392,-1.78445e-10
13.101,-19.7392,-1.79128e-10
13.151,-19.7392,-1.79812e-10
13.201,-19.7392,-1.80495e-10
13.251,-19.7392,-1.81181e-10
13.301,-19.7392,-1.81864e-10
13.351,-19.7392,-1.82548e-10
13.401,-19.7392,-1.8323e-10
13.451,-19.7392,-1.83914e-10
13.501,-19.7392,-1.84597e-10
13.551,-19.7392,-1.85282e-10
13.601,-19.7392,-1.85965e-10
13.651,-19.7392,-1.86648e-10
13.701,-19.7392,-1.87331e-10
13.751,-19.7392,-1.88016e-10
13.801,-19.7392,-1.88699e-10
13.851,-19.7392,-1.89383e-10
13.901,-19.7392,-1.90066e-10
13.951,-19.7392,-1.9075e-10
14.001,-19.7392,-1.91434e-10
14.051,-19.7392,-1.92117e-10
14.101,-19.7392,-1.928e-10
14.151,-19.7392,-1.93485e-10
14.201,-19.7392,-1.9417e-10
14.251,-19.7392,-1.94853e-10
14.301,-19.7392,-1.95536e-10
14.351,-19.7392,-1.96222e-10
14.401,-19.7392,-1.96906e-10
14.451,-19.7392,-1.97589e-10
14.501,-19.7392,-1.98273e-10
14.551,-19.7392,-1.98956e-10
14.601,-19.7392,-1.99639e-10
14.651,-19.7392,-2.00323e-10
14.701,-19.7392,-2.01006e-10
