t,body,x,y,z,vx,vy,vz
0.15,Mars,1.33673,0.731845,0,-2.44447,4.46383,0
0.16,Sun,3.44464e-06,1.9464e-06,0,3.34039e-05,3.07809e-05,0
0.16,Mercury,-0.197679,-0.332658,0,8.68303,-5.16042,0
0.16,Venus,-0.0466553,0.721277,0,-7.37494,-0.479235,0
0.16,Earth,0.535814,0.844327,0,-5.30521,3.36665,0
0.16,Mars,1.31155,0.776067,0,-2.59219,4.37972,0
0.17,Sun,3.78013e-06,2.26668e-06,0,3.36692e-05,3.32697e-05,0
0.17,Mercury,-0.105136,-0.37241,0,9.72049,-2.74485,0
0.17,Venus,-0.120032,0.712725,0,-7.28771,-1.22957,0
0.17,Earth,0.481739,0.876305,0,-5.50614,3.02689,0
0.17,Mars,1.2849,0.819423,0,-2.73701,4.29073,0
0.18,Sun,4.11754e-06,2.61171e-06,0,3.37903e-05,3.57339e-05,0
0.18,Mercury,-0.0054695,-0.386934,0,10.0994,-0.143446,0
0.18,Venus,-0.192156,0.696728,0,-7.12434,-1.96712,0
0.18,Earth,0.425764,0.904825,0,-5.68534,2.67518,0
0.18,Mars,1.25682,0.861866,0,-2.87879,4.19695,0
0.19,Sun,4.45547e-06,2.98129e-06,0,3.37734e-05,3.81795e-05,0
0.19,Mercury,0.0945675,-0.375247,0,9.79425,2.46755,0
0.19,Venus,-0.262271,0.673451,0,-6.88651,-2.68418,0
0.19,Earth,0.368108,0.929773,0,-5.8421,2.31291,0
0.19,Mars,1.22733,0.903347,0,-3.01735,4.09849,0
0.2,Sun,4.79255e-06,3.37526e-06,0,3.36194e-05,4.06131e-05,0
0.2,Mercury,0.188199,-0.338141,0,8.82566,4.9113,0
0.2,Venus,-0.329646,0.643138,0,-6.57671,-3.37326,0
0.2,Earth,0.308999,0.951053,0,-5.9758,1.94151,0
0.2,Mars,1.19648,0.94382,0,-3.15255,3.99546,0
0.21,Sun,5.12739e-06,3.79353e-06,0,3.33235e-05,4.30398e-05,0
0.21,Mercury,0.269084,-0.278132,0,7.25934,7.02228,0
0.21,Venus,-0.393576,0.606103,0,-6.19814,-4.02714,0
0.21,Earth,0.24867,0.968578,0,-6.08592,1.56245,0
0.21,Mars,1.1643,0.983241,0,-3.28424,3.88796,0
0.22,Sun,5.45852e-06,4.23604e-06,0,3.28767e-05,4.54619e-05,0
0.22,Mercury,0.331744,-0.199285,0,5.2014,8.65758,0
0.22,Venus,-0.453393,0.562735,0,-5.75477,-4.63899,0
0.22,Earth,0.18736,0.982281,0,-6.17202,1.17723,0
0.22,Mars,1.13081,1.02157,0,-3.41227,3.77613,0
0.23,Sun,5.78438e-06,4.70275e-06,0,3.22662e-05,4.78775e-05,0
0.23,Mercury,0.371935,-0.10694,0,2.79125,9.70648,0
0.23,Venus,-0.508471,0.513485,0,-5.25122,-5.2024,0
0.23,Earth,0.125311,0.992107,0,-6.23376,0.787352,0
0.23,Mars,1.09606,1.05875,0,-3.53649,3.66009,0
0.24,Sun,6.10325e-06,5.19355e-06,0,3.14771e-05,5.0279e-05,0
0.24,Mercury,0.386937,-0.00735182,0,0.19209,10.098,0
0.24,Venus,-0.558234,0.458868,0,-4.69274,-5.71146,0
0.24,Earth,0.0627669,0.998018,0,-6.2709,0.394371,0
0.24,Mars,1.06009,1.09475,0,-3.65676,3.53996,0
0.25,Sun,6.41327e-06,5.70824e-06,0,3.04943e-05,5.26531e-05,0
0.25,Mercury,0.375734,0.0927346,0,-2.42006,9.80557,0
